ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
['30', 'Tamako Love Story', '1', "['Kyoto Animation']", "['Comedy', 'Romance', 'Slice of Life']", 'Movie', '2014-2014', 'PG-13'],KyotoAnimation,ComedyRomanceSliceofLife
['31', 'Byousoku 5 Centimeter (5 Centimeters per Second)', '3', "['ADV Films', 'Bandai Entertainment', 'CoMix Wave Films', 'Discotek']", "['Drama', 'Romance', 'Slice of Life']", 'Movie', '2007-2007', 'PG-13'],ADVFilmsBandaiEntertainmentCoMixWaveFilmsDiscotek,DramaRomanceSliceofLife
['32', 'Paprika', '1', "['Madhouse', 'Sony Pictures Entertainment', 'Cyclone Graphics inc']", "['Fantasy', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Thriller']", 'Movie', '2006-2006', 'R+'],MadhouseSonyPicturesEntertainmentCycloneGraphicsinc,FantasyHorrorMysteryPsychologicalSci-FiThriller
['33', 'Perfect Blue', '1', "['Madhouse']", "['Dementia', 'Drama', 'Horror', 'Psychological']", 'Movie', '1998-1998', 'R+'],Madhouse,DementiaDramaHorrorPsychological
['34', 'Ghost in the Shell 2.0', '1', "['Production I.G']", "['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi']", 'Movie', '2008-2008', 'R+'],ProductionI.G,ActionMechaPolicePsychologicalSci-Fi
['35', 'Karigurashi no Arrietty (The Secret World of Arrietty)', '1', "['Studio Ghibli', 'Walt Disney Studios']", "['Fantasy']", 'Movie', '2010-2010', 'G'],StudioGhibliWaltDisneyStudios,Fantasy
['36', 'Tekkon Kinkreet', '1', "['Studio 4\xc2\xb0C', 'Aniplex', 'Tokyo MX']", "['Action', 'Adventure', 'Psychological', 'Supernatural']", 'Movie', '2006-2006', 'R'],Studio4°CAniplexTokyoMX,ActionAdventurePsychologicalSupernatural
['37', 'Akira', '1', "['Tokyo Movie Shinsha', 'FUNimation Entertainment', 'Mainichi Broadcasting', 'Kodansha', 'Bandai Entertainment', 'Toho Company']", "['Action', 'Adventure', 'Horror', 'Military', 'Sci-Fi', 'Supernatural']", 'Movie', '1988-1988', 'R+'],TokyoMovieShinshaFUNimationEntertainmentMainichiBroadcastingKodanshaBandaiEntertainmentTohoCompany,ActionAdventureHorrorMilitarySci-FiSupernatural
['38', 'Flanders no Inu (Movie) (The Dog of Flanders)', '1', "['Nippon Animation', 'Shochiku', 'Fuji TV', 'Pioneer LDC']", "['Adventure', 'Drama']", 'Movie', '1997-1997', 'G'],NipponAnimationShochikuFujiTVPioneerLDC,AdventureDrama
['39', 'Colorful (Movie) (Colorful ~ The Motion Picture)', '1', "['Sunrise', 'Aniplex', 'Sentai Filmworks', 'Ascension', 'Sony Music Entertainment']", "['Drama', 'Slice of Life', 'Supernatural']", 'Movie', '2010-2010', 'PG-13'],SunriseAniplexSentaiFilmworksAscensionSonyMusicEntertainment,DramaSliceofLifeSupernatural
