Name	Net Worth(Billions$)	Source of Wealth
Ray Lee Hunt	 5.3 	oil, real estate
Bruce Kovner	 5.3 	hedge funds
Kar Po Law	 5.3 	real estate
Joe Lewis	 5.3 	investments
Leng Chan Quek	 5.3 	banking, real estate
Johann Rupert	 5.3 	luxury goods
Andrei Skoch	 5.3 	steel
Jack Taylor	 5.3 	Enterprise Rent-A-Car
Laiwa Chan	 5.2 	real estate
Anders Holch Povlsen	 5.2 	retail
Trevor Rees-Jones	 5.2 	oil &amp; gas
Christy Walton	 5.2 	Wal-Mart
Vivien Chen 	 5.1 	real estate
Harold Hamm	 5.1 	oil &amp; gas
Diane Hendricks	 5.1 	roofing
Yongxing Liu	 5.1 	agribusiness
Ian &amp; Richard Livingstone	 5.1 	real estate
Frank Lowy	 5.1 	shopping malls
Ludwig Merckle	 5.1 	pharmaceuticals
Dan Olsson	 5.1 	diversified
Majid Al Futtaim	 5 	real estate, retail
Charles Dolan	 5 	cable television
Israel Englander	 5 	hedge funds
Cheng Liang Goh	 5 	paints
John Gokongwei	 5 	diversified
Guangchang Guo	 5 	conglomerate
Tamara Gustavson	 5 	self storage
Jerry Jones	 5 	Dallas Cowboys
Karl-Heinz Kipp	 5 	retail
Kwee	 5 	Pontiac Land Group
Willi &amp; Isolde Liebherr	 5 	construction
Yu-lin Lin	 5 	real estate
Arnon Milchan	 5 	movie making
Shashi &amp; Ravi Ruia	 5 	diversified
David Shaw	 5 	hedge funds
Huiyan Yang	 5 	real estate
Abdulla bin Ahmad Al Ghurair	 4.9 	diversified
David &amp; Frederick Barclay	 4.9 	media, retail
Richard Branson	 4.9 	Virgin
Jim Davis	 4.9 	New Balance
Albert Frere	 4.9 	investments
Daniel Gilbert	 4.9 	Quicken Loans
Akira Mori	 4.9 	real estate
Robert Rowling	 4.9 	investments
Alejandro Santo Domingo	 4.9 	beer
Andres Santo Domingo	 4.9 	beer
Bernard (Barry) Sherman	 4.9 	pharmaceuticals
Chairul Tanjung	 4.9 	diversified
Carl Cook	 4.8 	medical devices
Michael &amp; Marian Ilitch 	 4.8 	pizza
Bidzina Ivanishvili	 4.8 	investments
Robert Kraft	 4.8 	New England Patriots
Zhiqiang Lu	 4.8 	conglomerate
Michael Stoschek	 4.8 	autoparts
Sam Zell	 4.8 	real estate, private equity
Daniel Ziff	 4.8 	investments
Dirk Ziff	 4.8 	investments
Robert Ziff	 4.8 	investments
Richard DeVos	 4.7 	Amway
Gustaf Douglas	 4.7 	security
Arthur Irving	 4.7 	oil
Yueting Jia	 4.7 	online video
Paul Tudor Jones	 4.7 	hedge funds
Whitney MacMillan	 4.7 	Cargill
Guangxin Sun	 4.7 	diversified
Hong Piow Teh	 4.7 	banking
Hans Peter Wild 	 4.7 	flavorings
Pyotr Aven	 4.6 	oil, banking, telecom
Laurence Graff	 4.6 	diamond jewelry
Charles Johnson	 4.6 	money management
Shin Cheng Lee	 4.6 	palm oil, real estate
Richard Li	 4.6 	telecom
Bruno Schroder	 4.6 	banking
Mark Shoen	 4.6 	U-Haul
Dona Bertarelli	 4.5 	biotech
Leon Black	 4.5 	private equity
Carlos and Alejandro Bulgheroni	 4.5 	oil and gas
Clive Calder	 4.5 	record label
Ann Walton Kroenke	 4.5 	Wal-Mart
George Lucas	 4.5 	Star Wars
Theo Mueller	 4.5 	dairy
Jim Pattison	 4.5 	diversified
Sergei Popov	 4.5 	banking
Sumner Redstone	 4.5 	Media
Maria-Elisabeth Schaeffler	 4.5 	ball bearings
David Sun	 4.5 	computer hardware
Donald Trump	 4.5 	television, real estate
