ID,Rank,Title,Episodes,Producers,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors,,
44,66,Uchuu Senkan Yamato 2199 (Star Blazers 2199),26,"['Xebec', 'AIC']",OVA,2012,2013,PG-13,8.6,"['Sugou Takayuki', 'Ono Daisuke', 'Yamadera Kouichi', 'Kuwashima Houko']",,
45,67,Baccano!,13,"['Aniplex', 'FUNimation Entertainment', 'Brains Base', 'Aniplex of America', 'Sakura Create', 'Happinet Pictures']",TV,2007,2007,R,8.59,"['Onosaka Masaya', 'Morita Masakazu', 'Aoki Sayaka', 'Fujiwara Keiji']",,
46,69,Nana,47,"['Madhouse', 'VAP', 'Viz Media', 'Nippon Television Network Corporation']",TV,2006,2007,R+,8.59,"['Park Romi', 'Tsuchiya Anna', 'Kawana Midori', 'Ishida Akira', 'Seki Tomokazu']",,
47,70,Usagi Drop (Bunny Drop),11,"['Production I.G', 'Fuji TV', 'NIS America', 'Inc.', 'Sony Music Entertainment', 'Sakura Create', 'Fuji Pacific Music Publishing']",TV,2011,2011,PG-13,8.59,"['Matsuura Ayu', 'Tsuchida Hiroshi', 'Sakai Noa', 'Ohara Sayaka']",,
48,71,Cross Game,50,"['TV Tokyo', 'Shogakukan Productions', 'SynergySP']",TV,2009,2010,PG-13,8.58,"['Irino Miyu', 'Tomatsu Haruka', 'Sakurai Takahiro', 'Kanda Akemi']",,
49,72,Fate/Zero,13,"['Aniplex', 'ufotable', 'Nitroplus', 'Aniplex of America', 'seikaisha', 'Notes']",TV,2011,2011,R,8.57,"['Kawasumi Ayako', 'Koyama Rikiya', 'Nakata Jouji', 'Ohara Sayaka']",,
50,74,Mahou Shoujo Madoka★Magica (Puella Magi Madoka Magica),12,"['Aniplex', 'Shaft', 'Mainichi Broadcasting', 'Movic', 'Nitroplus', 'Aniplex of America', 'Madoka Partners', 'Houbunsha']",TV,2011,2011,R,8.57,"['Saito Chiwa', 'Yuuki Aoi', 'Nonaka Ai', 'Kitamura Eri']",,
51,75,Chihayafuru 2,25,"['Madhouse', 'VAP', 'Nippon Television Network Corporation']",TV,2013,2013,PG-13,8.56,"['Seto Asami', 'Miyano Mamoru', 'Terasaki Yuka', 'Hosoya Yoshimasa', 'Nakamichi Mihoko']",,
52,80,Psycho-Pass,22,"['Production I.G', 'Dentsu', 'FUNimation Entertainment', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment']",TV,2012,2013,R,8.56,"['Seki Tomokazu', 'Sakurai Takahiro', 'Hanazawa Kana', 'Nojima Kenji']",,
53,81,Slam Dunk,101,"['Toei Animation', 'TV Asahi', 'FUNimation Entertainment', 'Animax']",TV,1993,1996,PG-13,8.56,"['Kusao Takeshi', 'Midorikawa Hikaru', 'Okiayu Ryotaro', 'Shioya Yoku']",,
54,82,Bakuman. 2,25,"['J.C.Staff', 'NHK', 'Media Blasters', 'NHK Enterprises']",TV,2011,2012,PG-13,8.55,"['Abe Atsushi', 'Hino Satoshi', 'Okamoto Nobuhiko', 'Morita Masakazu']",,
55,83,JoJo no Kimyou na Bouken (TV) (JoJo&#039;s Bizarre Adventure),26,"['Yomiko Advertising', 'David Production', 'Warner Bros.', 'The Klock Worx']",TV,2012,2013,R,8.55,"['Sugita Tomokazu', 'Koyasu Takehito', 'Okitsu Kazuyuki', 'Ueda Youji']",,
56,84,Kuroko no Basket (Kuroko&#039;s Basketball),25,"['Production I.G', 'Bandai Visual', 'Lantis', 'NAS', 'Mainichi Broadcasting', 'Banpresto']",TV,2012,2012,PG-13,8.55,"['Ono Kensho', 'Ono Yuuki', 'Suwabe Junichi', 'Kamiya Hiroshi']",,
57,86,No Game No Life (No Game, No Life),12,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']",TV,2014,2014,PG-13,8.55,"['Matsuoka Yoshitsugu', 'Kayano Ai', 'Hikasa Yoko', 'Tamura Yukari']",
58,87,Shinsekai yori (From the New World),25,"['Aniplex', 'TV Asahi', 'A-1 Pictures', 'Pony Canyon', 'Sentai Filmworks']",TV,2012,2013,R,8.55,"['Endou Aya', 'Taneda Risa', 'Kaji Yuuki', 'Tojo Kanako', 'Hanazawa Kana', 'Toudou Mai', 'Murase Ayumu']",,
59,89,Barakamon,12,"['VAP', 'FUNimation Entertainment', 'Kinema Citrus', 'Nippon Television Network Corporation']",TV,2014,2014,PG-13,8.53,"['Hara Suzuko', 'Ono Daisuke', 'Ookubo Rumi', 'Endou Rina']",,
60,90,Nichijou (My Ordinary Life),26,"['Kyoto Animation', 'Lantis', 'Kadokawa Shoten', 'Movic', 'Rakuonsha', 'Bandai Entertainment', 'Kadokawa Pictures Japan', 'The Klock Worx', 'Animation Do']",TV,2011,2011,PG-13,8.53,"['Honda Mariko', 'Konno Hiromi', 'Shiraishi Minoru', 'Aizawa Mai']",,
61,93,Katanagatari,12,"['Aniplex', 'Lantis', 'Kodansha', 'Movic', 'Fuji TV', 'White Fox', 'NIS America', 'Inc.']",TV,2010,2010,R,8.52,"['Kumai Motoko', 'Hosoya Yoshimasa', 'Tamura Yukari', 'Nakahara Mai', 'Tomatsu Haruka']",,
62,94,Major S6,25,"['NHK', 'SynergySP']",TV,2010,2010,PG-13,8.52,"['Morikubo Showtaro', 'Morita Masakazu', 'Sasamoto Yuuko', 'Ochiai Kouji']",,
63,95,Mononoke,12,"['Toei Animation', 'Fuji TV', 'Flatiron Film Company']",TV,2007,2007,R,8.52,"['Sakurai Takahiro', 'Midorikawa Hikaru', 'Wakamoto Norio', 'Kuwashima Houko']",,
64,96,Nanatsu no Taizai (The Seven Deadly Sins),24,"['Aniplex', 'Dentsu', 'A-1 Pictures', 'Mainichi Broadcasting', 'Kodansha', 'Movic']",TV,2014,2015,PG-13,8.52,"['Suzuki Tatsuhisa', 'Kaji Yuuki', 'Fukuyama Jun', 'Yuuki Aoi']",,
65,97,Nodame Cantabile,23,"['J.C.Staff', 'Dentsu', 'Genco', 'Kodansha', 'Fuji TV', 'Magic Capsule', 'Sony Music Entertainment', 'Fuji Pacific Music Publishing']",TV,2007,2007,PG-13,8.52,"['Kawasumi Ayako', 'Seki Tomokazu', 'Sawashiro Miyuki', 'Ogawa Shinji', 'Matsukaze Masaya']",,
66,99,Romeo no Aoi Sora (Romeo and the Black Brothers),33,['Nippon Animation'],TV,1995,1995,PG-13,8.5,"['Fujita Toshiko', 'Orikasa Ai', 'Ishizu Aya', 'Hiyama Nobuyuki']",,
67,100,Sakamichi no Apollon (Kids on the Slope),12,"['Dentsu', 'Fuji TV', 'Tezuka Productions', 'Toho Company', 'DAX Production', 'Sentai Filmworks', 'MAPPA', 'Sony Music Entertainment']",TV,2012,2012,PG-13,8.5,"['Hosoya Yoshimasa', 'Kimura Ryouhei', 'Furuki Nozomi', 'Nanri Yuuka', 'Suwabe Junichi']",,
68,101,Samurai Champloo,26,"['Geneon Universal Entertainment', 'Manglobe', 'FUNimation Entertainment', 'Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']",TV,2004,2005,R,8.5,"['Nakai Kazuya', 'Sato Ginpei', 'Kawasumi Ayako', 'Tamagawa Sakiko']",,
69,103,Toki wo Kakeru Shoujo (The Girl Who Leapt Through Time),1,"['Madhouse', 'Kadokawa Shoten', 'Bandai', 'Bandai Entertainment', 'Kadokawa Pictures USA', 'Memory-Tech', 'Happinet Pictures']",Movie,2006,2006,PG-13,8.5,"['Naka Riisa', 'Ishida Takuya', 'Itakura Mitsutaka', 'Hara Sachie']",,
70,104,Tonari no Totoro (My Neighbor Totoro),1,"['Studio Ghibli', 'Studio Fantasia', 'Walt Disney Studios', 'GKids']",Movie,1988,1988,G,8.5,"['Takagi Hitoshi', 'Sakamoto Chika', 'Hidaka Noriko', 'Takagi Hitoshi']",,
71,105,Toradora!,25,"['J.C.Staff', 'Genco', 'Starchild Records', 'Magic Capsule', 'NIS America', 'Inc.', 'Yomiuri Advertising', 'TV Tokyo Music']",TV,2008,2009,PG-13,8.5,"['Kugimiya Rie', 'Majima Junji', 'Horie Yui', 'Kitamura Eri']",,
72,106,Hunter x Hunter,62,"['Nippon Animation', 'Viz Media', 'Fuji TV']",TV,1999,2001,PG-13,8.49,"['Mitsuhashi Kanako', 'Takeuchi Junko', 'Kaida Yuki', 'Gouda Hozumi']",,
73,110,Shirobako,24,"['Sotsu Agency', 'P.A. Works', 'Movic', 'Sentai Filmworks', 'Warner Bros.', 'The Klock Worx', 'Showgate']",TV,2014,2015,PG-13,8.49,"['Kimura Juri', 'Yoshimura Haruka', 'Ohwada Hitomi', 'Chisuga Haruka']",,
74,111,Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind),1,"['Studio Ghibli', 'Studio Hibari', 'Topcraft', 'Walt Disney Studios', 'GKids']",Movie,1984,1984,PG-13,8.48,"['Shimamoto Sumi', 'Sakakibara Yoshiko', 'Naya Goro', 'Matsuda Youji']",,
75,112,Kemono no Souja Erin (Erin),50,"['Production I.G', 'Trans Arts', 'NHK Enterprises']",TV,2009,2009,PG-13,8.48,"['Hoshii Nanase', 'Suzumura Kenichi', 'Hirata Eriko', 'Uchida Naoya']",,
76,113,Mobile Suit Gundam Unicorn,7,"['Sunrise', 'Bandai Entertainment', 'NYAV Post']",OVA,2010,2014,PG-13,8.48,"['Uchiyama Kouki', 'Ikeda Shuuichi', 'Fujimura Ayumi', 'Narita Ken']",,
77,115,Higurashi no Naku Koro ni Kai (When They Cry 2),24,"['Geneon Universal Entertainment', 'Studio Deen', 'Sentai Filmworks']",TV,2007,2007,R,8.47,"['Nakahara Mai', 'Tamura Yukari', 'Yukino Satsuki', 'Yukino Satsuki']",,
78,116,Major S1,26,"['Shogakukan Productions', 'Studio Hibari', 'NHK']",TV,2004,2005,PG-13,8.47,"['Kumai Motoko', 'Sasamoto Yuuko', 'Kugimiya Rie', 'Sasajima Kaoru']",,
79,117,Ookami to Koushinryou II (Spice and Wolf II),12,"['Imagin', 'FUNimation Entertainment', 'Brains Base', 'flying DOG']",TV,2009,2009,PG-13,8.47,"['Koshimizu Ami', 'Fukuyama Jun', 'Watanabe Akeno', 'Park Romi']",,
80,120,Durarara!!,24,"['Aniplex', 'Square Enix', 'Brains Base', 'Mainichi Broadcasting', 'Movic', 'Aniplex of America', 'ASCII Media Works', 'Sakura Create']",TV,2010,2010,R,8.46,"['Kamiya Hiroshi', 'Ono Daisuke', 'Oohara Momoko', 'Sawashiro Miyuki', 'Miyano Mamoru']",,
81,123,Yuu☆Yuu☆Hakusho (Yu Yu Hakusho: Ghost Files),112,"['Studio Pierrot', 'FUNimation Entertainment', 'Yomiko Advertising', 'Fuji TV']",TV,1992,1995,PG-13,8.46,"['Sasaki Nozomu', 'Hiyama Nobuyuki', 'Ogata Megumi', 'Nakahara Shigeru', 'Chiba Shigeru']",,
82,125,Hunter x Hunter OVA,8,['Nippon Animation'],OVA,2002,2002,PG-13,8.45,"['Mitsuhashi Kanako', 'Takeuchi Junko', 'Kaida Yuki', 'Gouda Hozumi']",,
83,126,Major S2,26,"['Studio Hibari', 'NHK']",TV,2005,2006,PG-13,8.45,"['Morikubo Showtaro', 'Kumai Motoko', 'Morita Masakazu', 'Sasamoto Yuuko', 'Yasumura Makoto']",,
84,127,Major S3,26,"['Studio Hibari', 'NHK']",TV,2007,2007,PG-13,8.45,"['Morikubo Showtaro', 'Park Romi', 'Mori Norihisa', 'Kusao Takeshi']",,
85,128,Ouran Koukou Host Club (Ouran High School Host Club),26,"['Bones', 'VAP', 'FUNimation Entertainment', 'Nippon Television Network Corporation']",TV,2006,2006,PG-13,8.45,"['Miyano Mamoru', 'Sakamoto Maaya', 'Suzumura Kenichi', 'Fujita Yoshinori']",,
86,130,Sakurasou no Pet na Kanojo (The Pet Girl of Sakurasou),24,"['J.C.Staff', 'Genco', 'Media Factory', 'Sentai Filmworks', 'ASCII Media Works']",TV,2012,2013,PG-13,8.45,"['Kayano Ai', 'Nakatsu Mari', 'Horie Yui', 'Matsuoka Yoshitsugu']",,
87,133,Natsume Yuujinchou (Natsume&#039;s Book of Friends),13,"['Aniplex', 'Brains Base', 'NAS', 'NIS America', 'Inc.', 'TV Tokyo Music', 'Sony Music Entertainment']",TV,2008,2008,PG-13,8.44,"['Kamiya Hiroshi', 'Fujimura Ayumi', 'Inoue Kazuhiko', 'Kobayashi Sanae', 'Kobayashi Sanae', 'Yajima Akiko']",,
88,134,Rose of Versailles,40,"['Tokyo Movie Shinsha', 'Right Stuf']",TV,1979,1980,PG-13,8.44,"['Tajima Reiko', 'Shigaki Taro', 'Ueda Miyuki', 'Hori Katsunosuke', 'Nozawa Nachi']",,
89,135,Beck (Beck: Mongolian Chop Squad),26,"['Madhouse', 'Marvelous Entertainment', 'Starchild Records', 'FUNimation Entertainment', 'Asatsu DK', 'Kodansha']",TV,2004,2005,R,8.43,"['Namikawa Daisuke', 'Saiki Miho', 'Ueno Yuuma', 'Oohata Shintarou']",,
90,137,Kaguya-hime no Monogatari (The Tale of the Princess Kaguya),1,"['Studio Ghibli', 'GKids']",Movie,2013,2013,G,8.43,"['Asakura Aki', 'Miyamoto Nobuko', 'Chii Takeo']",,
91,139,NHK ni Youkoso! (Welcome to the N.H.K.),24,"['Gonzo', 'ADV Films', 'FUNimation Entertainment']",TV,2006,2006,R+,8.43,"['Koizumi Yutaka', 'Makino Yui', 'Sakaguchi Daisuke', 'Shishido Rumi']",,
92,140,One Outs,25,"['Madhouse', 'VAP', 'Nippon Television Network Corporation']",TV,2008,2009,PG-13,8.43,"['Hagiwara Masato', 'Yamaguchi Kappei', 'Isobe Tsutomu', 'Matsukaze Masaya']",,
93,141,Hachimitsu to Clover II (Honey and Clover II),12,"['J.C.Staff', 'Genco', 'Viz Media', 'Fuji TV', 'Sony Music Entertainment']",TV,2006,2006,PG-13,8.42,"['Kugimiya Rie', 'Ueda Yuji', 'Nojima Kenji', 'Kamiya Hiroshi', 'Takahashi Mikako', 'Kudou Haruka']",,
94,142,Katekyo Hitman Reborn!,203,"['Artland', 'TV Tokyo', 'Dentsu', 'Marvelous Entertainment', 'Pony Canyon', 'd-rights']",TV,2006,2010,PG-13,8.42,"['Kondou Takashi', 'Kokubun Yukari', 'Ichinose Hidekazu', 'Yoshida Asako', 'Iida Toshinobu']",,
95,144,Nodame Cantabile Finale,11,"['J.C.Staff', 'Fuji TV', 'Sony Music Entertainment']",TV,2010,2010,PG-13,8.42,"['Kawasumi Ayako', 'Seki Tomokazu', 'Horiuchi Kenyuu', 'Ogawa Shinji', 'Matsukaze Masaya']",,
96,145,Bakemonogatari,15,"['Aniplex', 'Shaft', 'Kodansha', 'Aniplex of America']",TV,2009,2010,R,8.41,"['Saito Chiwa', 'Kamiya Hiroshi', 'Katou Emiri', 'Horie Yui']",,
97,147,Death Parade,12,"['Madhouse', 'VAP', 'FUNimation Entertainment', 'DAX Production', 'Nippon Television Network Corporation']",TV,2015,2015,R,8.41,"['Maeno Tomoaki', 'Seto Asami', 'Ookubo Rumi', 'Hosoya Yoshimasa']",,
