ID,Rank,Title,Episodes,Producers,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors,,
1517,2408,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,5,"['Lantis', 'Silver Link', 'DAX Production']",Special,2015 to ?,2015 to ?,PG-13,7.22,"['Kadowaki Mai', 'Saito Chiwa', 'Nazuka Kaori', 'Sugiyama Noriaki']",,
1518,2409,Gugure! Kokkuri-san Specials,6,['TMS Entertainment'],Special,2014,2015,PG-13,7.23,[],,
1519,2411,Jungle Taitei (1997) (Jungle Emperor Leo),1,"['Madhouse', 'Mushi Productions', 'Media Blasters', 'NYAV Post']",Movie,1997,1997,G,7.23,"['Tsukayama Masane', 'Baisho Chieko']",,
1520,2412,Kaibutsu Oujo (OVA),3,['Tatsunoko Productions'],OVA,2010,2011,R,7.23,"['Hayami Saori', 'Kitamura Eri', 'Toyosaki Aki', 'Irino Miyu']",,
1521,2413,Kimi no Iru Machi OVA,2,['Gonzo'],OVA,2014,2014,R+,7.23,"['Nakajima Megumi', 'Hosoya Yoshimasa', 'Sakura Ayane', 'Fujita Saki', 'Kouno Nana']",,
1522,2414,Kodomo no Jikan (TV),12,"['Lantis', 'Dream Force']",TV,2007,2007,R,7.23,"['Kitamura Eri', 'Shindou Kei', 'Kadowaki Mai', 'Majima Junji']",,
1523,2416,Mamoru-kun ni Megami no Shukufuku wo! (Venus to Mamoru!),24,['Zexcs'],TV,2006,2007,PG-13,7.23,"['Kimura Akiko', 'Takahashi Mikako', 'Oohata Shintarou', 'Sanada Asami']",,
1524,2417,Manga Sekai Mukashibanashi (Manga Fairy Tales of the World),127,"['Madhouse', 'TBS', 'DAX Production']",TV,1976,1979,G,7.23,[],,
1525,2418,Mekakucity Actors,12,"['Aniplex', 'Shaft', 'Aniplex of America', '1st PLACE', 'Tokyo MX']",TV,2014,2014,PG-13,7.23,"['Asumi Kana', 'Tachibana Shinnosuke', 'Terashima Takuma', 'Nakahara Mai']",,
1526,2421,Rosario to Vampire (Rosario + Vampire),13,"['Gonzo', 'FUNimation Entertainment', 'Happinet Pictures', 'Atelier Musa']",TV,2008,2008,R+,7.23,"['Kugimiya Rie', 'Mizuki Nana', 'Fukuen Misato', 'Kishio Daisuke']",,
1527,2423,Sekirei Special,1,"['Aniplex', 'Seven Arcs', 'FUNimation Entertainment']",Special,2009,2009,R+,7.23,"['Inoue Marina', 'Hayami Saori', 'Hanazawa Kana', 'Tachibana Shinnosuke']",,
1528,2424,Solty Rei Specials,2,"['Gonzo', 'AIC', 'TV Asahi', 'FUNimation Entertainment']",Special,2006,2007,PG-13,7.23,"['Saitou Momoko', 'Nakata Jouji', 'Asano Masumi', 'Tamura Yukari']",,
1529,2425,Sora no Manimani (At The Mercy of The Sky),12,"['Sony Pictures Entertainment', 'Marvelous Entertainment', 'Lantis', 'Studio Comet', 'Pony Canyon', 'AT-X', 'Delphi Sound']",TV,2009,2009,PG-13,7.23,"['Itou Kanae', 'Majima Junji', 'Takagi Reiko', 'Tomatsu Haruka']",,
1530,2426,Sore ga Seiyuu! (Seiyu&#039;s Life!),13,"['Gonzo', 'FUNimation Entertainment', 'Evil Line Records']",TV,2015,2015,PG-13,7.23,"['Nagaku Yuki', 'Takahashi Rie', 'Kouno Marika', 'Kamiya Hiroshi']",,
1531,2427,Space Adventure Cobra (Space Adventure Cobra: The Movie),1,"['TMS Entertainment', 'Discotek']",Movie,1982,1982,PG-13,7.23,"['Matsuzaki Shigeru', 'Sakakibara Yoshiko', 'Mutsumi Gorou']",,
1532,2428,Yankee-kun na Yamada-kun to Megane-chan to Majo,1,['LIDENFILMS'],Special,2015,2015,None,7.23,"['Ono Yuuki', 'Hikasa Yoko', 'Terashima Takuma', 'Maeno Tomoaki']",,
1533,2429,Yoroiden Samurai Troopers (Ronin Warriors),39,"['Sunrise', 'Bandai Entertainment', 'Discotek']",TV,1988,1989,PG-13,7.23,"['Takemura Hiroshi', 'Nakamura Daiki', 'Kusao Takeshi', 'Nishimura Tomohiro']",,
1534,2430,Aku no Hana (Flowers of Evil),13,"['Starchild Records', 'Animax', 'Kodansha', 'Zexcs', 'Sentai Filmworks', 'The Klock Worx', 'GANSIS']",TV,2013,2013,R,7.22,"['Ise Mariya', 'Ueda Shinichirou', 'Hikasa Yoko', 'Hamazoe Shinya']",,
1535,2431,Aoki Ryuusei SPT Layzner (Blue Comet SPT Layzner),38,['Sunrise'],TV,1985,1986,PG-13,7.22,"['Inoue Kazuhiko', 'Emori Hiroko', 'Shiozawa Kaneto', 'Hara Eriko']",,
1536,2433,Armitage III,4,"['AIC', 'FUNimation Entertainment', 'Pioneer LDC']",OVA,1995,1995,R,7.22,"['Kasahara Hiroko', 'Nakao Ryuusei', 'Masutani Yasunori', 'Ogata Megumi']",,
1537,2434,Chicchana Yukitsukai Sugar (A Little Snow Fairy Sugar),24,"['J.C.Staff', 'Kadokawa Shoten', 'Broccoli', 'TBS', 'Pioneer LDC', 'Sentai Filmworks']",TV,2001,2002,PG,7.22,"['Kawakami Tomoko', 'Asano Masumi', 'Saeki Tomo', 'Mizuhashi Kaori']",,
1538,2435,Chirin no Suzu (Ringing Bell),1,"['Sanrio', 'Discotek']",Movie,1978,1978,PG-13,7.22,"['Kamiya Akira', 'Matsushima Minori', 'Katou Seizou', 'Nakanishi Taeko', 'Takagi Hitoshi']",,
1539,2436,Dirty Pair,24,"['Sunrise', 'Studio Nue', 'Right Stuf']",TV,1985,1985,PG-13,7.22,"['Tonguu Kyouko', 'Shimazu Saeko', 'Sawaki Ikuya']",,
1540,2439,Halo Legends,9,"['Bones', 'Bee Train', 'Production I.G', 'Studio 4°C', 'Toei Animation', 'Casio Entertainment', 'Warner Bros.']",ONA,2009,2010,PG-13,7.22,"['Genda Tessyo', 'Tani Atsuki', 'Touma Yumi', 'Maeda Ai', 'Fujiwara Keiji', 'Touchi Hiroki']",,
1541,2443,Koe de Oshigoto! The Animation (Koe de Oshigoto!),2,"['Pony Canyon', 'Media Blasters', 'Studio Gokumi']",OVA,2010,2011,R+,7.22,"['Mako', 'Hirao Sayaka', 'Watanabe Akeno', 'Onosaka Masaya']",,
1542,2444,Kyoushoku Soukou Guyver II (The Guyver: Bio-Booster Armor),6,['Animate Film'],OVA,1991,1992,R,7.22,"['Kusao Takeshi', 'Tanaka Hideyuki', 'Futamata Issei', 'Suzuoki Hirotaka']",,
1543,2446,Maria†Holic,12,"['Shaft', 'Frontier Works', 'Genco', 'Media Factory', 'AT-X', 'Omnibus Japan', 'Sentai Filmworks']",TV,2009,2009,PG-13,7.22,"['Kobayashi Yuu', 'Inoue Marina', 'Sanada Asami', 'Sawashiro Miyuki']",,
1544,2447,Medaka Box,12,"['Gainax', 'TV Tokyo', 'Lantis', 'Media Factory', 'Sentai Filmworks', 'Asahi Production', 'Hakoniwa Academy Student Council']",TV,2012,2012,PG-13,7.22,"['Toyosaki Aki', 'Ono Yuuki', 'Katou Emiri', 'Kayano Ai']",,
1545,2448,Mermaid Melody Pichi Pichi Pitch Pure,39,"['Actas', 'Synergy Japan']",TV,2004,2004,PG,7.22,"['Nakada Asumi', 'Terakado Hitomi', 'Kishio Daisuke', 'Asano Mayumi']",,
1546,2450,Mushibugyou OVA,3,['Seven Arcs'],OVA,2014,2015,PG-13,7.22,"['KENN', 'Eguchi Takuya', 'Terashima Takuma', 'Ookubo Rumi']",,
1547,2453,Otome wa Boku ni Koishiteru (Otoboku: Maidens are Falling for Me),12,"['Feel', 'Starchild Records', 'Dream Force', 'GANSIS']",TV,2006,2006,PG-13,7.22,"['Horie Yui', 'Takahashi Chiaki', 'Asano Masumi', 'Matsuki Miyu']",,
1548,2454,Peach Girl (Peach Girl: Super Pop Love Hurricane),25,"['TV Tokyo', 'Nomad', 'Marvelous Entertainment', 'FUNimation Entertainment', 'Studio Comet', 'Studio Jack']",TV,2005,2005,PG-13,7.22,"['Suzumura Kenichi', 'Chiba Saeko', 'Nasu Megumi', 'Kiuchi Hidenobu']",,
1549,2455,Photon (Photon: The Idiot Adventures),6,"['AIC', 'Movic', 'Central Park Media']",OVA,1997,1999,R+,7.22,"['Takeuchi Junko', 'Yoshizumi Kozue', 'Horie Yui', 'Kuroda Yumi']",,
1550,2456,Pokemon Diamond &amp; Pearl,191,"['TV Tokyo', 'Oriental Light and Magic', 'Shogakukan Productions', 'Viz Media', 'SoftX', 'The Pokemon Company International', 'Nintendo Co.', 'Ltd.', 'Studio Jack']",TV,2006,2010,PG,7.22,"['Ootani Ikue', 'Matsumoto Rika', 'Ueda Yuji', 'Miki Shinichiro']",,
1551,2457,PopoloCrois,26,"['Tokyo Movie Shinsha', 'TMS Entertainment']",TV,2003,2004,PG,7.21,['Minami Omi'],,
1552,2458,Rental Magica,24,"['Kadokawa Shoten', 'Right Stuf', 'Zexcs', 'NTT Docomo']",TV,2007,2008,PG-13,7.22,"['Takahashi Mikako', 'Fukuyama Jun', 'Ueda Kana', 'Suwabe Junichi']",,
1553,2459,Seirei Tsukai no Blade Dance (Blade Dance of the Elementalers),12,"['Genco', 'Media Factory', 'TNK', 'Movic', 'AT-X', 'Sentai Filmworks', 'Showgate']",TV,2014,2014,PG-13,7.22,"['Kakuma Ai', 'Furukawa Makoto', 'Ishigami Shizuka', 'Kido Ibuki']",,
1554,2460,Shin Captain Tsubasa,13,"['Nippon Animation', 'Studio Comet', 'NAS', 'Fuji TV']",OVA,1989,1990,G,7.22,"['Hibino Akari', 'Suzuoki Hirotaka', 'Hashimoto Kouichi']",,
1555,2462,Sousei no Aquarion (Aquarion),26,"['Satelight', 'Touhouku Shinsha', 'FUNimation Entertainment', 'Media Factory', 'Production Reed', 'Bandai', 'Tohokushinsha Film Corporation']",TV,2005,2005,PG-13,7.22,"['Terashima Takuma', 'Kakazu Yumi', 'Sugita Tomokazu', 'Ishizuka Unshou']",,
1556,2463,Taiho Shichau zo Special (You&#039;re Under Arrest Mini Specials),20,['TBS'],TV,1999,1999,PG-13,7.22,"['Tamagawa Sakiko', 'Hiramatsu Akiko', 'Matsumoto Rika', 'Shimada Bin']",,
1557,2465,Ushio to Tora (Ushio and Tora),10,['Toshiba EMI'],OVA,1992,1993,PG-13,7.22,"['Otsuka Chikao', 'Sasaki Nozomu', 'Amano Yuri', 'Touma Yumi']",,
1558,2466,Yami Shibai (Yamishibai: Japanese Ghost Stories),13,"['TV Tokyo', 'ILCA']",TV,2013,2013,PG-13,7.22,['Tsuda Kanji'],,
1559,2468,Aikatsu!,Unknown,"['Sunrise', 'TV Tokyo', 'Bandai Visual', 'Dentsu', 'Bandai Namco Pictures']",TV,2012 to ?,2012 to ?,G,7.21,"['Morohoshi Sumire', 'Kirishima Waka', 'Tadokoro Azusa', 'Uebana Fuuri', 'Ohashi Ayaka', 'Yoshikawa Sunao', 'Numakura Manami']",,
1560,2469,Bubblegum Crisis Tokyo 2040,26,"['AIC', 'ADV Films', 'FUNimation Entertainment', 'Victor Entertainment']",TV,1998,1999,R,7.21,"['Asakawa Yuu', 'Konishi Hiroko', 'Yukino Satsuki', 'Natsuki Rio']",,
1561,2470,Chikyuu Bouei Kigyou Dai-Guard,26,"['Xebec', 'TV Tokyo Music']",TV,1999,2000,PG-13,7.21,"['Itou Kentarou', 'Hiramatsu Akiko', 'Miki Shinichiro', 'Ono Kenichi']",,
1562,2475,Escaflowne (Escaflowne: A Girl in Gaea),1,"['Bones', 'Sunrise', 'FUNimation Entertainment', 'Bandai Entertainment', 'Atelier Musa']",Movie,2000,2000,PG-13,7.21,"['Seki Tomokazu', 'Sakamoto Maaya', 'Takayama Minami', 'Nakata Jouji']",,
1563,2477,Girls und Panzer Specials (Girls &amp; Panzer OVAs),6,"['Actas', 'Sentai Filmworks']",Special,2012,2013,PG-13,7.21,"['Nakagami Ikumi', 'Iguchi Yuka', 'Fuchigami Mai', 'Ozaki Mami']",,
1564,2481,Kaibutsu Oujo (Princess Resurrection),25,"['Madhouse', 'Imagin', 'ADV Films', 'Lantis', 'Sentai Filmworks', 'Index']",TV,2007,2007,PG-13,7.21,"['Kawasumi Ayako', 'Kaida Yuuko', 'Noto Mamiko', 'Kawaragi Shiho']",,
1565,2483,Kimi no Iru Machi,12,"['Gonzo', 'TV Tokyo', 'Right Stuf', 'ZERO-A']",TV,2013,2013,R+,7.21,"['Nakajima Megumi', 'Matsuura Ayu', 'Hosoya Yoshimasa', 'Matsuda Ryousuke', 'Sakura Ayane', 'Fujita Saki']",,
1566,2484,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,1,['Studio Gallop'],Movie,1999,1999,PG-13,7.2,"['Ishii LaSalle', 'Miyamoto Mitsuru', 'Morio Yumi', 'Esumi Eimei']",,
1567,2485,Madlax,26,"['Bee Train', 'ADV Films', 'Victor Entertainment']",TV,2004,2004,R,7.21,"['Kobayashi Sanae', 'Kuwashima Houko', 'Uchikawa Ai', 'Morikawa Toshiyuki']",,
1568,2486,Mahoromatic 2 End Year Special,1,['Gainax'],Special,2002,2002,R+,7.21,[],,
1569,2488,Mama wa Shougaku 4 Nensei,51,['Sunrise'],TV,1992,1992,PG,7.21,"['Koorogi Satomi', 'Ikura Kazue', 'Yoshida Rihoko']",,
1570,2491,Nagagutsu wo Haita Neko,1,"['Toei Animation', 'Discotek']",Movie,1969,1969,G,7.21,"['Ishikawa Susumu', 'Fujita Toshiko', 'Utsumi Kenji']",,
1571,2495,Shin Getter Robo tai Neo Getter Robo,4,"['Bandai Visual', 'Bee Media', 'Discotek', 'Dynamic Planning']",OVA,2000,2001,PG-13,7.21,"['Ishikawa Hideo', 'Uchida Naoya', 'Sakurai Takahiro', 'Tsuji Shinpachi']",,
1572,2496,Shin Hakkenden,26,"['TV Tokyo', 'Public &amp; Basic']",TV,1999,1999,PG-13,7.21,"['Suzuki Masami', 'Asakawa Yuu', 'Okiayu Ryotaro', 'Tatsuta Naoki']",,
1573,2497,Soukou no Strain (Strain: Strategic Armored Infantry),13,"['Studio Fantasia', 'FUNimation Entertainment', 'Happinet Pictures']",TV,2006,2007,R+,7.21,"['Kawasumi Ayako', 'Kondou Takashi', 'Nonaka Ai', 'Yukana']",,
1574,2498,Tenchi Muyou! Manatsu no Eve,1,"['Geneon Universal Entertainment', 'AIC', 'Genco', 'Pioneer LDC']",Movie,1997,1997,R+,7.21,"['Orikasa Ai', 'Kobayashi Yuko', 'Kikuchi Masami', 'Yokoyama Chisa']",,
1575,2501,Uchuu Densetsu Ulysses 31 (Ulysses 31),26,"['Tokyo Movie Shinsha', 'TMS Entertainment', 'DiC Entertainment']",TV,1981,1982,G,7.21,"['Tsukayama Masane', 'Kobayashi Osamu', 'Yajima Akiko', 'Shimamoto Sumi', 'Tobita Nobuo', 'Mizushima Yuu']",,
1576,2502,Usavich,13,['Kanaban Graphics'],TV,2006 to 2007,2006 to 2007,PG-13,7.21,['Ueno Hironori'],,
1577,2503,Wonderful Days (Sky Blue),1,"['Gainax', 'Tin House']",Movie,2003,2003,PG-13,7.21,"['Yamadera Kouichi', 'Sanada Asami']",,
1578,2504,Yakushiji Ryouko no Kaiki Jikenbo (Ryoko&#039;s Case File),13,"['Starchild Records', 'Doga Kobo', 'GANSIS']",TV,2008,2008,PG-13,7.21,"['Nabatame Hitomi', 'Kiuchi Hidenobu', 'Shimamoto Sumi', 'Nojima Kenji']",,
1579,2505,Yamato Takeru,37,['Nippon Animation'],TV,1994,1994,PG-13,7.21,"['Kamei Yoshiko', 'Morikawa Toshiyuki', 'Ogata Megumi', 'Kanai Mika']",,
1580,2506,Anne no Nikki (The Diary of Anne Frank),1,"['Madhouse', 'TBS', 'Imagica']",Movie,1995,1995,PG-13,7.19,"['Takahashi Reina', 'Katou Gou', 'Tano Seiko']",,
1581,2507,Area 88 (TV),12,"['TV Asahi', 'Group TAC', 'ADV Films']",TV,2004,2004,PG-13,7.2,"['Koyasu Takehito', 'Miki Shinichiro', 'Seki Tomokazu', 'Takahashi Hiroki']",,
1582,2508,Bakuman. 2 Special,1,['J.C.Staff'],Special,2012,2012,PG-13,7.2,[],,
1583,2509,Binan Koukou Chikyuu Bouei-bu LOVE!,12,"['Diomedea', 'FUNimation Entertainment', 'Pony Canyon']",TV,2015,2015,PG-13,7.2,"['Yamamoto Kazutomi', 'Masuda Toshiki', 'Umehara Yuuichirou', 'Nishiyama Koutarou']",,
1584,2511,Cat&#039;s Eye,73,"['Tokyo Movie Shinsha', 'Right Stuf']",TV,1983,1985,PG-13,7.2,"['Toda Keiko', 'Fujita Toshiko', 'Yasuhara Yoshito', 'Sakamoto Chika']",,
1585,2513,Dog Days&#039;&#039;,12,"['Aniplex', 'Seven Arcs', 'Starchild Records', 'Namco Bandai Games', 'Glovision']",TV,2015,2015,PG-13,7.2,"['Horie Yui', 'Koshimizu Ami', 'Miyano Mamoru', 'Takahashi Mikako']",,
1586,2514,Gedo Senki (Tales from Earthsea),1,['Studio Ghibli'],Movie,2006,2006,PG-13,7.21,"['Teshima Aoi', 'Sugawara Bunta', 'Okada Junichi', 'Fubuki Jun']",,
1587,2515,Hataraki Man,11,"['Studio Gallop', 'Kodansha', 'Fuji TV', 'Sony Music Entertainment']",TV,2006,2006,PG-13,7.2,"['Tanaka Rie', 'Nakai Kazuya', 'Tanaka Atsuko', 'Fukuen Misato']",,
1588,2516,Hime Chen! Otogi Chikku Idol Lilpri,51,"['TV Tokyo', 'Shogakukan Productions', 'TMS Entertainment', 'Half H.P Studio']",TV,2010,2011,PG,7.2,"['Wada Ayaka', 'Fukuda Kanon', 'Maeda Yuuka', 'Kakihara Tetsuya']",,
1589,2517,Hinata no Aoshigure,1,['Studio Colorido'],Movie,2013,2013,PG,7.2,"['Inami Anju', 'Hayami Saori']",,
1590,2518,Koukou Tekken-den Tough (Shootfighter Tekken),3,"['AIC', 'Central Park Media']",OVA,2002,2002,R,7.2,"['Iwata Mitsuo', 'Wakamoto Norio', 'Sugita Tomokazu']",,
1591,2519,Koutetsu Jeeg,46,"['Toei Animation', 'Dynamic Planning']",TV,1975,1976,PG-13,7.2,"['Furuya Toru', 'Yoshida Rihoko', 'Takahashi Kazue']",,
1592,2520,Kyattou Ninden Teyandee (Samurai Pizza Cats),54,"['Shaft', 'Tatsunoko Productions', 'Studio Nue', 'Discotek']",TV,1990,1991,G,7.2,"['Yamaguchi Kappei', 'Orikasa Ai', 'Kosugi Juurouta', 'Kawamura Maria']",,
1593,2524,Mazinkaiser SKL,3,"['Actas', 'Media Blasters', 'Showgate', 'Dynamic Planning']",OVA,2010,2011,R,7.2,"['Asanuma Shintaro', 'Hino Satoshi', 'Hayami Saori', 'Ginga Banjou']",,
1594,2526,Mokke,24,"['Madhouse', 'Kodansha']",TV,2007,2008,PG,7.2,"['Mizuki Nana', 'Kawasumi Ayako', 'Mitsuishi Kotono', 'Hori Katsunosuke']",,
1595,2527,Muteki Choujin Zanbot 3 (Invincible Superman Zanbot 3),23,['Sunrise'],TV,1977,1978,PG-13,7.2,"['Ooyama Nobuyo', 'Matsuo Yoshiko', 'Mori Katsuji', 'Shimada Akira']",,
1596,2528,Nanatsu-iro★Drops,12,['Diomedea'],TV,2007,2007,PG-13,7.2,"['Yuimoto Michiru', 'Nojima Hirofumi', 'Gotou Mai', 'Matsuoka Yuki', 'Kurokawa Nami']",,
1597,2529,Ninja Senshi Tobikage (Ninja Robots),43,['Studio Pierrot'],TV,1985,1986,PG-13,7.2,"['Inoue Kazuhiko', 'Shimamoto Sumi', 'Hidaka Noriko', 'Kikuchi Masami']",,
1598,2530,Pandane to Tamago-hime (Mr. Dough and the Egg Princess),1,['Studio Ghibli'],Movie,2010,2010,PG-13,7.2,[],,
1599,2532,Princess Princess,12,"['Studio Deen', 'TV Asahi', 'Media Blasters']",TV,2006,2006,PG-13,7.2,"['Park Romi', 'Fukuyama Jun', 'Kakihara Tetsuya', 'Takeuchi Junko']",,
1600,2535,Stop!! Hibari-kun!,35,['Toei Animation'],TV,1983,1984,R+,7.2,"['Majima Satomi', 'Suzuki Tomiko', 'Mori Katsuji', 'Irokawa Kyouko']",,
1601,2536,Strike Witches,12,"['Gonzo', 'FUNimation Entertainment', 'Kadokawa Shoten', 'The Klock Worx', 'NTT Docomo', '501st JOINT FIGHTER WING']",TV,2008,2008,R+,7.2,"['Fukuen Misato', 'Chiba Saeko', 'Nazuka Kaori', 'Sawashiro Miyuki']",,
1602,2537,Switch,2,"['Actas', 'Frontier Works']",OVA,2008,2009,PG-13,7.2,"['Fukuyama Jun', 'Sakurai Takahiro', 'Sugita Tomokazu', 'Suwabe Junichi']",,
1603,2539,Toaru Majutsu no Index II Specials,2,['J.C.Staff'],Special,2011,2011,PG-13,7.2,"['Abe Atsushi', 'Iguchi Yuka', 'Satou Rina', 'Okamoto Nobuhiko']",,
1604,2542,Vassalord.,1,['Production I.G'],OVA,2013,2013,R,7.2,"['Fujiwara Keiji', 'Okiayu Ryotaro', 'Ciari Christelle', 'Satou Rina', 'Kobayashi Misa']",,
1605,2543,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! OVA,1,['Silver Link'],OVA,2014,2014,PG-13,7.2,"['Kitta Izumi', 'Suwabe Junichi', 'Nakamura Yuuichi', 'Hanazawa Kana']",,
1606,2544,Ao no 6-gou (Blue Submarine No. 6),4,"['Gonzo', 'Bandai Entertainment', 'Discotek']",OVA,1998,2000,PG-13,7.19,"['Gouda Hozumi', 'Yukana', 'Nagasawa Miki', 'Morikubo Showtaro']",,
1607,2546,Asatte no Houkou. (Living for the Day After Tomorrow),12,"['J.C.Staff', 'Bandai Visual', 'Lantis', 'TBS', 'Sentai Filmworks']",TV,2006,2006,PG-13,7.19,"['Itou Shizuka', 'Hino Satoshi', 'Fujimura Ayumi', 'Nomura Katsuhito']",,
1608,2547,Aura Battler Dunbine,49,"['Sunrise', 'Bandai Visual', 'ADV Films']",TV,1983,1984,PG-13,7.19,"['Nakahara Shigeru', 'Kawamura Maria', 'Doi Mika', 'Osaka Hidemi']",,
1609,2549,Bokura no Live Kimi to no Life,1,"['Sunrise', 'Lantis']",Music,2010,2010,PG-13,7.19,"['Pile', 'Tokui Sora', 'Kusuda Aina', 'Uchida Aya']",,
1610,2551,Chou Mashin Eiyuuden Wataru (Super Demon Hero Wataru),51,['Sunrise'],TV,1997,1998,G,7.19,"['Hayashibara Megumi', 'Tanaka Mayumi', 'Nishimura Tomomichi', 'Aikawa Rikako']",,
1611,2552,Chuunibyou demo Koi ga Shitai! Ren Lite,6,['Kyoto Animation'],ONA,2013,2014,PG-13,7.19,"['Uchida Maaya', 'Uesaka Sumire', 'Fukuyama Jun', 'Akasaki Chinatsu']",,
1612,2553,Comet Lucifer,12,"['Sentai Filmworks', '8bit']",TV,2015 to ?,2015 to ?,PG-13,7.18,"['Ohashi Ayaka', 'Kobayashi Yuusuke', 'Takahashi Rie', 'Tamura Mutsumi']",,
1613,2555,Deadman Wonderland OVA,1,"['Manglobe', 'FUNimation Entertainment']",OVA,2011,2011,R,7.19,"['Katou Masayuki', 'Kayano Ai', 'Ishizuka Unshou', 'Ooura Fuyuka']",,
1614,2557,Dual Parallel! Trouble Adventures,13,"['Geneon Universal Entertainment', 'AIC']",TV,1999,1999,PG-13,7.19,"['Uchikawa Ai', 'Tanaka Rie', 'Yamaguchi Takayuki', 'Toyoguchi Megumi']",,
1615,2560,Hoshi wo Katta Hi (The Day I Bought a Star),1,['Studio Ghibli'],Movie,2006,2006,G,7.19,['Kamiki Ryunosuke'],,
1616,2561,Iblard Jikan,1,['Studio Ghibli'],OVA,2007,2007,G,7.19,[],,
1617,2562,Inukami! the Movie,1,"['Seven Arcs', 'ASCII Media Works']",Movie,2007,2007,PG-13,7.19,"['Horie Yui', 'Fukuyama Jun', 'Hayami Show', 'Nazuka Kaori']",,
1618,2564,Kamisama Dolls,13,"['TV Tokyo', 'Shogakukan Productions', 'Media Factory', 'Brains Base', 'Half H.P Studio', 'AT-X', 'Sentai Filmworks', 'flying DOG', 'Sony Music Communications']",TV,2011,2011,R,7.19,"['Kimura Ryouhei', 'Fukuen Misato', 'Okamoto Nobuhiko', 'Kayano Ai']",,
1619,2565,Kazemakase Tsukikage Ran (Carried by the Wind: Tsukikage Ran),13,"['Madhouse', 'Bandai Visual', 'Bandai Entertainment']",TV,2000,2000,PG-13,7.19,"['Yasuhara Reiko', 'Okamura Akemi']",,
1620,2566,Kindaichi Shounen no Jikenbo,1,"['Toei Animation', 'Kodansha']",Movie,1996,1996,None,7.19,"['Yamaguchi Kappei', 'Nakagawa Akiko', 'Natsuyagi Isao']",,
1621,2567,Kiss x Sis (TV),12,"['Feel', 'Starchild Records']",TV,2010,2010,R+,7.19,"['Tatsumi Yuiko', 'Taketatsu Ayana', 'Takeuchi Ken', 'Imai Asami']",,
1622,2569,Mahou no Stage Fancy Lala (Magical Stage Fancy Lala),26,"['Studio Pierrot', 'Kyoto Animation', 'Bandai Visual', 'Geneon Universal Entertainment', 'TV Osaka', 'Bandai Entertainment', 'Yomiuri Advertising', 'TV Tokyo Music']",TV,1998,1998,G,7.19,"['Omori Reiko', 'Yamaguchi Kappei', 'Oobayashi Ryuusuke']",,
1623,2572,Pokemon Advanced Generation (Pokemon Advance),192,"['TV Tokyo', 'Oriental Light and Magic', 'Shogakukan Productions', 'Viz Media', '4Kids Entertainment', 'The Pokemon Company International', 'TV Tokyo Music', 'Studio Jack']",TV,2002,2006,PG,7.19,"['Ootani Ikue', 'Matsumoto Rika', 'Ueda Yuji', 'Miki Shinichiro']",,
1624,2575,Seihou Bukyou Outlaw Star Pilot,1,"['Sunrise', 'Xebec', 'Sotsu Agency', 'Victor Entertainment']",Special,2008,2008,R+,7.19,[],,
1625,2576,Seikimatsu Occult Gakuin (Occult Academy),13,"['Aniplex', 'Xebec', 'A-1 Pictures', 'NIS America', 'Inc.', 'TV Tokyo Music']",TV,2010,2010,R,7.19,"['Hikasa Yoko', 'Mizushima Takahiro', 'Yahagi Sayuri', 'Koyasu Takehito', 'Kobayashi Yuu']",,
1626,2578,Tegami Bachi Reverse Specials (Letter Bee Reverse Specials),25,['Studio Pierrot'],Special,2010,2011,PG-13,7.19,[],,
1627,2579,Tsurikichi Sanpei,109,"['Nippon Animation', 'Studio Jack']",TV,1980,1982,G,7.19,['Nozawa Masako'],,
1628,2583,Akazukin Chacha OVA,3,['Studio Gallop'],OVA,1995,1996,G,7.18,[],,
1629,2584,Bomberman Jetters,52,['Studio Deen'],TV,2002,2003,G,7.18,"['Kaneda Tomoko', 'Ishii Kouji', 'Mizuno Risa', 'Takahashi Hiroki']",,
1630,2586,Devil May Cry,12,"['Madhouse', 'ADV Films', 'FUNimation Entertainment', 'Media Factory', 'Toshiba Entertainment']",TV,2007,2007,R,7.18,"['Morikawa Toshiyuki', 'Fukuen Misato', 'Orikasa Fumiko', 'Tanaka Atsuko']",,
1631,2589,Elf wo Karu Mono-tachi II (Those Who Hunt Elves II),12,"['Group TAC', 'ADV Films', 'Sentai Filmworks']",TV,1997,1997,PG-13,7.18,"['Seki Tomokazu', 'Mitsuishi Kotono', 'Miyamura Yuko', 'Tomizawa Michie']",,
1632,2590,Freezing Vibration,12,"['FUNimation Entertainment', 'Media Factory', 'A.C.G.T.']",TV,2013,2013,R+,7.18,"['Noto Mamiko', 'Inoue Marina', 'Hanazawa Kana', 'Ichiki Mitsuhiro']",,
1633,2591,Geragera Boes Monogatari (Ox Tales),52,"['TV Tokyo', 'Telescreen BV']",TV,1987,1988,G,7.18,[],,
1634,2593,Hidan no Aria (Aria the Scarlet Ammo),12,"['J.C.Staff', 'FUNimation Entertainment', 'TBS', 'Magic Capsule', 'flying DOG']",TV,2011,2011,PG-13,7.18,"['Kugimiya Rie', 'Majima Junji', 'Ise Mariya', 'Takahashi Mikako']",,
